player,average_rank,years_in_top10,best_rank,worst_rank,earliest_year,latest_year
 Peter Nicol,2.4,10,1,8,1996,2005
 Ali Farag,3.25,4,1,7,2016,2019
 Jansher Khan,3.3333333333333335,3,1,8,1996,1998
 Jonathon Power,3.6666666666666665,9,1,9,1997,2005
 Mohamed El Shorbagy,3.7,10,1,10,2010,2019
 Ramy Ashour,3.909090909090909,11,1,7,2006,2016
 Grégory Gaultier,4.0,15,1,10,2003,2018
 Ahmed Barada,4.25,4,2,7,1997,2000
 Rodney Eyles,4.333333333333333,3,2,7,1996,1998
 Nick Matthew,4.642857142857143,14,1,10,2004,2017
 David Palmer,4.7272727272727275,11,1,9,2000,2011
 Amr Shabana,4.7272727272727275,11,1,9,2004,2014
 Paul Johnson,5.0,3,4,7,1998,2000
 Stewart Boswell,5.0,2,4,6,2001,2002
 Thierry Lincou,5.2,10,1,9,2001,2010
 James Willstrop,5.2727272727272725,11,1,10,2005,2017
 Anthony Ricketts,5.5,4,3,7,2002,2006
 Karim Darwish,5.6,10,1,9,2003,2013
 Karim Abdel Gawad,5.666666666666667,6,2,9,2015,2019
 Martin Heath,5.666666666666667,3,5,6,1998,2000
 Del Harris,6.0,2,6,6,1996,1997
 Dan Jenson,6.0,1,6,6,1998,1998
 Marwan El Shorbagy,6.25,4,5,9,2016,2019
 John White,6.571428571428571,7,2,10,1999,2007
 Paul Coll,6.666666666666667,3,5,8,2017,2019
 Omar Mosaad,6.666666666666667,3,4,8,2012,2016
 Tarek Momen,6.8,5,4,10,2014,2019
 Lee Beachill,6.8,5,1,10,2002,2006
 Miguel Ángel Rodríguez,7.0,3,5,10,2015,2019
 Diego Elias,7.0,1,7,7,2019,2019
 Stefan Casteleyn,7.0,1,7,7,1999,1999
 David Evans,7.0,2,4,10,2000,2001
 Simon Parke,7.0,5,3,10,1996,2000
 Craig Rowland,7.0,1,7,7,1996,1996
 Chris Walker,7.0,2,4,10,1996,1997
 Brett Martin,7.0,2,5,9,1996,1997
 Borja Golán,7.0,2,7,7,2013,2014
 Peter Barker,7.142857142857143,7,5,9,2008,2014
 Anthony Hill,7.333333333333333,3,5,9,1996,1999
 Simon Rösner,7.5,6,3,10,2014,2019
 Ong Beng Hee,7.666666666666667,3,7,8,2001,2003
 Mark Chaloner,8.666666666666666,3,8,10,1996,2002
 Laurens Jan Anjema,9.0,1,9,9,2010,2010
 Alex Gough,9.0,2,9,9,1999,2000
 Wael El Hindi,9.0,3,8,10,2007,2009
 Mathieu Castagnet,9.0,2,9,9,2015,2016
 Paul Price,9.5,2,9,10,2000,2001
 Derek Ryan,10.0,1,10,10,1998,1998
 Mohd Azlan Iskandar,10.0,1,10,10,2011,2011
 Mohamed Abouelghar,10.0,1,10,10,2018,2018
 Daryl Selby,10.0,2,10,10,2012,2013
